,title,location,ppp_number,price
190,RUMAH BARU EASTERN PARK RESIDENCE 2LANTA...,Sukolilo mulia,PPP Number : OXMTP-00009273,"IDR 1,250,000,000"
191,RUMAH NEW MINIMALIS 2LANTAI LOKASI BUMI ...,Bumi wonorejo asri,PPP Number : OXMTP-00009267,"IDR 850,000,000"
192,RUMAH NEW MINIMALIS EASTERN PARK RESIDEN...,Sukolilo mulia,PPP Number : OXMTP-00009265,"IDR 1,250,000,000"
193,DI JUAL RUMAH CANDI LONTAR SURABAYA,Candi lontar tengah surabaya,PPP Number : OXMBL-00001651,"IDR 950,000,000"
194,DI JUAL RUMAH HITUNG TANAH BABATAN PILAN...,BABATAN pilang surabaya,PPP Number : OXMBL-00001650,"IDR 800,000,000"
195,RUMAH BARU GRES WISATA BUKIT MAS 1 CLUST...,"Jl. Lidah Bukit Mas, Lidah Wetan, Kec. Lakarsantri, Kota SBY, Jawa Timur 60213",PPP Number : OXMMJ-00003741,"IDR 1,100,000,000"
196,RUMAH CITRALAND BUKIT PALMA TERAWAT ROW ...,Bukit Palma,PPP Number : OXMCI-00003410,"IDR 650,000,000"
197,SISA 1 UNIT RUMAH GADING PANTAI SURABAYA...,Gading Pantai,PPP Number : OXMTP-00009248,"IDR 1,158,000,000"
198,JUAL RUMAH JL. KAPAS GADING REGENCY,Jl. Kapas Gading Regency,PPP Number : OXMNC-00002640,"IDR 1,050,000,000"
199,"DIJUAL RUMAH SURABAYA 990 JUTA, CITRA SE...","Rumah Citra Sentosa, lakarsantri Surabaya",PPP Number : OXMDP-00000837,"IDR 990,000,000"
200,PESONA ALAM GUNUNG ANYAR SURABAYA,Pesona Alam Gunung Anyar Surabaya,PPP Number : OXMBL-00001644,"IDR 800,000,000"
201,DI JUAL RUMAH HITUNG TANAH SAMBIKEREP SU...,Sambikerep surabaya,PPP Number : OXMBL-00001635,"IDR 1,500,000,000"
202,DIJUAL RUMAH CITRALAND UTARA BUKIT PALMA...,Bukit Palma Citraland E3,PPP Number : OXMTE-00001630,"IDR 1,130,000,000"
203,RUMAH SIAP HUNI DEKAT SUPERMARKET 600 JU...,"raya Kepatihan, barat Surabaya, dekat benowo",PPP Number : OXMNY-00001707,"IDR 612,000,000"
204,DI JUAL RUMAH BARU,Medokan Sawah timur 4,PPP Number : OXMBL-00001624,"IDR 760,000,000"
205,RUMAH HITS 2 LANTAI BEBAS CUSTOM DESIGN ...,raya Kenjeran surabaya,PPP Number : OXMNY-00001706,"IDR 990,000,000"
206,HUNIAN NYAMAN SBY BARAT BABATAN PRATAMA ...,Babatan Pratama,PPP Number : OXMCI-00003401,"IDR 1,100,000,000"
207,RUMAH BABATAN PRATAMA LINGKUNGAN NYAMAN ...,Babatan Pratama,PPP Number : OXMCI-00003400,"IDR 1,100,000,000"
208,DIJUAL  RUMAH MEDOKAN AYU UTARA SURABAYA...,Medokan Ayu Utara Surabaya Timur.,PPP Number : OXMMJ-00003713,"IDR 525,000,000"
209,JUAL RUMAH GREEN HILL,Green Hill,PPP Number : OXMNC-00002632,"IDR 1,200,000,000"
210,DI JUAL RUMAH WISATA BUKIT MAS CLUSTER G...,Wisata Bukit mas cluster grand palais surabaya,PPP Number : OXMBL-00001617,"IDR 1,500,000,000"
211,DI JUAL RUMAH WISMA LIDAH KULON SURABAYA,Wisma lidah kulon surabaya,PPP Number : OXMBL-00001616,"IDR 900,000,000"
212,DI JUAL RUMAH TAMBAK MEDOKAN AYU SURABAY...,Taman medokan ayu surabaya,PPP Number : OXMBL-00001608,"IDR 750,000,000"
213,JUAL RUMAH LOKASI KARANG EMPAT SURABAYA,Karang Empat,PPP Number : OXMTP-00009198,"IDR 1,100,000,000"
214,DI JUAL RUMAH GRAND ALANA SURABAYA,Grand Alana surabaya,PPP Number : OXMBL-00001606,"IDR 990,000,000"
215,RUMAH SIAP HUNI DEKAT  DENGAN KAMPUS ITS,Sukolilo Damai I,PPP Number : OXMTS-00001217,"IDR 1,300,000,000"
216,"TAMAN RIVERA REGENCY  MEDOKAN AYU, SURAB...",medokan ayu,PPP Number : OXMDP-00000826,"IDR 1,100,000,000"
217,ROYAL PAKA RESIDENCE,medokan,PPP Number : OXMNC-00002627,"IDR 746,000,000"
218,DIJUAL RUMAH GRIYA ASRI CITRA LAND UTARA...,citra land utara,PPP Number : OXMDP-00000823,"IDR 650,000,000"
219,RUMAH PUTRA BANGSA RUNGKUT 500JUTAAN,putra bangsa rungkut,PPP Number : OXMGH-00000953,"IDR 589,000,000"
220,JUAL RUMAH MINIMALIS MEDOKAN  SAWAH GAYA...,medokan sawah,PPP Number : OXMGH-00000952,"IDR 1,055,000,000"
221,JUAL RUMAH SIAP HUNU KALIJUDAN INDAH,vila kalijudan,PPP Number : OXMGH-00000951,"IDR 1,350,000,000"
222,PROPERTY RUMAH KARANGASEM SURABAYA TIMUR...,Karangasem,PPP Number : OXMTP-00009151,"IDR 1,375,000,000"
223,PROPERTY RUMAH NIRWANA EKSEKUTIF RUNGKUT...,Nirwana eksekutif,PPP Number : OXMTP-00009150,"IDR 1,500,000,000"
224,RUMAH BAGUS TERAWAT 1LANTAI NIRWANA EKSE...,Nirwana eksekutif,PPP Number : OXMTP-00009148,"IDR 1,500,000,000"
225,RUMAH KARANGASEM SURABAYA TIMUR BAGUS TE...,karangasem,PPP Number : OXMTP-00009147,"IDR 1,375,000,000"
226,RUMAH KARANGASEM SURABAYA TIMUR SIAP HUN...,Karangasem,PPP Number : OXMTP-00009142,"IDR 1,375,000,000"
227,RUMAH NIRWANA EKSEKUTIF RUNGKUT SURABAYA...,Nirwana eksekutif,PPP Number : OXMTP-00009141,"IDR 1,500,000,000"
228,DIJUAL RUMAH WONOREJO SELATAN RUNGKUT SU...,WONOREJO SELATAN RUNGKUT,PPP Number : OXMTG-00002651,"IDR 975,000,000"
229,DIJUAL MURAH RUMAH 2 LANTAI MEDOKAN AREA...,Medokan Sawah Timur,PPP Number : OXMGH-00000934,"IDR 1,100,000,000"
230,JUAL CEPAT RUMAH SURABAYA BARAT GRIYA CI...,griya citra asri,PPP Number : OXMDP-00000814,"IDR 900,000,000"
231,JUAL CEPAT RUMAH BARU SIAP HUNI POCAN CL...,pondok candra,PPP Number : OXMDP-00000810,"IDR 1,450,000,000"
232,DI JUAL RUMAH BRONGGALAN SAWAH SURABAYA,BRONGGALAN sawah surabaya,PPP Number : OXMBL-00001594,"IDR 995,000,000"
233,JUAL RUMAH SIAP HUNI ROYAL GUNUNG ANYAR ...,royal gunung anyar,PPP Number : OXMGH-00000922,"IDR 655,000,000"
234,JUAL RUMAH BARU GRAHA GUNUNG ANYAR TAMBA...,graha gunung anyar tambak,PPP Number : OXMGH-00000921,"IDR 1,250,000,000"
235,JUAL RUMAH HITUNG TANAH AJA DI PERUMAHAN...,perumahan taman pondok indah Wiyung,PPP Number : OXMDP-00000807,"IDR 900,000,000"
236,DI JUAL RUMAH BULAK BANTENG SURABAYA,BULAK banteng surabaya,PPP Number : OXMBL-00001590,"IDR 800,000,000"
237,DI JUAL RUMAH RANGKAH SURABAYA,Rangkah surabaya,PPP Number : OXMBL-00001588,"IDR 900,000,000"
238,DIJUAL RUMAH TAMBAK MEDOKAN AYU PERUM SI...,TAMBAK MEDOKAN AYU,PPP Number : OXMTG-00002635,"IDR 800,000,000"
239,DIJUAL RUMAH BUMI WONOREJO ASRI RUNGKUT ...,BUMI WONOREJO ASRI,PPP Number : OXMTG-00002634,"IDR 600,000,000"
240,DIJUAL RUMAH WONOREJO SELATAN RUNGKUT SU...,WONOREJO SELATAN,PPP Number : OXMTG-00002633,"IDR 1,100,000,000"
241,RUMAH MURAH CITRALAND UTARA SBY,Bukit Palma,PPP Number : OXMCI-00003389,"IDR 1,130,000,000"
242,DIJUAL RUMAH KUTISARI SELATAN SURABAYA R...,KUTISARI SELATAN,PPP Number : OXMTG-00002631,"IDR 775,000,000"
243,DIJUAL RUMAH BESERTA TANAH RUNGKUT TENGA...,RUNGKUT TENGAH,PPP Number : OXMTG-00002624,"IDR 950,000,000"
244,DIJUALRUMAH BARU RENOVASI DI WIGUNA SELA...,"Wiguna Selatan , Surabaya",PPP Number : OXMMJ-00003698,"IDR 842,000,000"
245,JUAL RUMAH DI BUKIT PALMA,Bukit Palma,PPP Number : OXMNC-00002610,"IDR 1,250,000,000"
246,JUAL RUMAH DI BUKIT PALMA,Bukit Palma,PPP Number : OXMNC-00002609,"IDR 1,300,000,000"
247,JUAL RUMAH MINIMALIS DEKAT CITRALAND SUR...,grha villas sambikerep,PPP Number : OXMGH-00000905,"IDR 850,000,000"
248,JUAL RUMAH BARU GRESS DI GRAND HARVEST A...,grand harvest arcadia,PPP Number : OXMGH-00000899,"IDR 1,300,000,000"
249,JUAL MURAH RUMAH MEDOKAN AREA RUNGKUT SU...,medokan ayu,PPP Number : OXMGH-00000894,"IDR 800,000,000"
250,GRAND HARVEST WIYUNG SIAP HUNI,Grand Harvest,PPP Number : OXMHV-00000705,"IDR 1,300,000,000"
251,RUMAH SURABAYA BANTING HARGA TERMURAH. B...,raya gununganyar surabaya,PPP Number : OXMNY-00001696,"IDR 600,000,000"
252,RUMAH SURABAYA MURAH  DEKAT KAMPUS UPN,raya gununganyar surabaya,PPP Number : OXMNY-00001695,"IDR 845,000,000"
253,DIJUAL RUMAH WONOREJO INDAH TIMUR SURABA...,WONOREJO INDAH TIMUR,PPP Number : OXMTG-00002618,"IDR 900,000,000"
254,DIJUAL RUMAH SEMAMPIR BARAT SUKOLILO SUR...,SEMAMPIR BARAT,PPP Number : OXMTG-00002616,"IDR 1,090,000,000"
255,DIJUAL RUMAH GUBENG KERTAJAYA SURABAYA R...,GUBENG KERTAJAYA,PPP Number : OXMTG-00002612,"IDR 600,000,000"
256,DIJUAL RUMAH DI PERUMAHAN GRAND ALANA GU...,GUNUNG ANYAR,PPP Number : OXMTG-00002611,"IDR 990,000,000"
257,DIJUAL RUMAH SUKOLILO DIAN REGENCY JALAN...,SUKOLILO DIAN REGENCY,PPP Number : OXMTG-00002610,"IDR 900,000,000"
258,"JUAL RUMAH NORTHWEST CENTRAL, CARRERA DE...","Northwest Central, Carrera Deluxe",PPP Number : OXMNC-00002593,"IDR 1,250,000,000"
259,DIJUAL RUMAH GREEN SEMANGGI MANGROVE AGI...,GREEN SEMANGGI MANGROVE,PPP Number : OXMTG-00002602,"IDR 750,000,000"
260,DIJUAL RUMAH SEMOLOWARU INDAH SURABAYA R...,SEMOLOWARU INDAH,PPP Number : OXMTG-00002597,"IDR 1,250,000,000"
261,DIJUAL RUMAH GREEN SEMANGGI MANGROVE RUN...,GREEN SEMANGGI MANGROVE,PPP Number : OXMTG-00002595,"IDR 700,000,000"
262,DIJUAL RUMAH GREEN SEMANGGI MANGROVE RUN...,GREEN SEMANGGI MANGROVE,PPP Number : OXMTG-00002591,"IDR 750,000,000"
263,JUAL CEPAT RUMAH SURABAYA BARAT GRIYA CI...,griya citra asri,PPP Number : OXMDP-00000794,"IDR 1,400,000,000"
264,JUAL CEPAT RUMAH SURABAYA BARAT GRIYA CI...,griya citra asri sememi Surabaya,PPP Number : OXMDP-00000793,"IDR 1,400,000,000"
265,DIJUAL MURAH  RUMAH DI PANTAI MENTARI 1 ...,Pantai Mentari,PPP Number : OXMRW-00000131,"IDR 1,300,000,000"
266,DIJUAL RUMAH TENGGILIS MEJOYO UTARA SURA...,TENGGILIS MEJOYO UTARA,PPP Number : OXMTG-00002578,"IDR 1,300,000,000"
267,DIJUAL RUMAH NOL JALAN RAYA PANDUGO RUNG...,PANDUGO,PPP Number : OXMTG-00002567,"IDR 1,200,000,000"
268,DIJUAL RUMAH BARU RUNGKUT TENGAH SURABAY...,RUNGKUT TENGAH,PPP Number : OXMTG-00002561,"IDR 675,000,000"
269,DIJUAL RUMAH LEBAK PERMAI UTARA SURABAYA...,LEBAK PERMAI UTARA,PPP Number : OXMTG-00002559,"IDR 950,000,000"
270,DIJUAL RUMAH WIYUNG INDAH SURABAYA RON.A...,WIYUNG INDAH,PPP Number : OXMTG-00002549,"IDR 1,000,000,000"
271,DIJUAL RUMAH WIGUNA GUNUNG ANYAR SURABAY...,WIGUNA,PPP Number : OXMTG-00002548,"IDR 1,200,000,000"
272,PROPERTY RUMAH MINIMALIS CANTIK 2LANTAI ...,Pisces,PPP Number : OXMTP-00009095,"IDR 1,250,000,000"
273,PROPERTY RUMAH BABATAN PRATAMA WIYUNG SU...,Babatan pratama,PPP Number : OXMTP-00009093,"IDR 1,500,000,000"
274,RUMAH 2LANTAI BAGUS TERAWAT DI BABATAN P...,Babatan pratama,PPP Number : OXMTP-00009090,"IDR 1,500,000,000"
275,RUMAH MINIMALIS CANTIK 2LANTAI DI JALAN ...,Pisces,PPP Number : OXMTP-00009088,"IDR 1,250,000,000"
276,RUMAH MINIMALIS CANTIK TERAWAT LOKASI DI...,Pisces,PPP Number : OXMTP-00009085,"IDR 1,250,000,000"
277,RUMAH BABATAN PRATAMA WIYUNG SURABAYA BA...,Babatan pratama,PPP Number : OXMTP-00009083,"IDR 1,500,000,000"
278,JUAL RUMAH ALAM JUANDA,alam juanda,PPP Number : OXMDP-00000792,"IDR 500,000,000"
279,DIJUAL RUMAH & KOS AKTIF 8 KT TUWOWO SUR...,Jln Tuwowo,PPP Number : OXMDP-00000791,"IDR 800,000,000"
280,"DIJUAL RUMAH BARU GRESS 2 LANTAI, ROYAL ...",Royal paka,PPP Number : OXMDP-00000787,"IDR 1,350,000,000"
281,DIJUAL RUMAH WIGUNA SELATAN GUNUNG ANYAR...,WIGUNA SELATAN,PPP Number : OXMTG-00002533,"IDR 850,000,000"
282,RUMAH 2 LANTAI UMIRE ROYAL PAKA RESIDENC...,Umire Royal Paka Residence,PPP Number : OXMMR-00000700,"IDR 746,000,000"
283,DIJUAL RUMAH GUNUNG ANYAR EMAS SELATAN S...,GUNUNG ANYAR EMAS SELATAN,PPP Number : OXMTG-00002530,"IDR 670,000,000"
284,JUAL RUMAH SIAP HUNI CANDI LONTAR(TYS),candi lontar,PPP Number : OXMDP-00000785,"IDR 1,350,000,000"
285,DIJUAL RUMAH ALAM JUANDA,wiyung,PPP Number : OXMDP-00000784,"IDR 500,000,000"
286,RUMAH CILAND NORTH WEST LAKE 2LT MODERN ...,North West Lake,PPP Number : OXMCI-00003361,"IDR 1,200,000,000"
287,RUMAH CILAND NORTH WEST LAKE MODERN MINI...,North West Lake,PPP Number : OXMCI-00003360,"IDR 950,000,000"
288,DIJUAL RUMAH MEDOKAN SAWAH RUNGKUT SURAB...,MEDOKAN SAWAH RUNGKUT,PPP Number : OXMTG-00002523,"IDR 750,000,000"
289,DIJUAL RUMAH MEDOKAN SAWAH RUNGKUT SURAB...,MEDOKAN SAWAH RUNGKUT,PPP Number : OXMTG-00002522,"IDR 1,100,000,000"
290,DIJUAL RUMAH DI PERUM GRIYA PESONA ASRI ...,MEDAYU PESONA,PPP Number : OXMTG-00002517,"IDR 950,000,000"
291,DIJUAL RUMAH KONTRAKKAN MOJOKLANGGRU LOR...,MOJOKLANGGRU LOR,PPP Number : OXMTG-00002506,"IDR 1,300,000,000"
292,DIJUAL RUMAH JALAN KANSER PLOSO TAMBAKSA...,KANSER PLOSO,PPP Number : OXMTG-00002503,"IDR 1,100,000,000"
293,DI JUAL RUMAH KENDUNG SEMEMI BENOWO SURA...,Kendung sememi BENOWO surabaya,PPP Number : OXMBL-00001556,"IDR 650,000,000"
294,DI JUAL RUNAH KEDUNG KLINTER SURABAYA,Kedung klinter surabaya,PPP Number : OXMBL-00001551,"IDR 1,300,000,000"
295,"JUAL RUMAH DI JL. PISCES , PLOSO.",Pisces,PPP Number : OXMTP-00009078,"IDR 1,250,000,000"
296,DIJUAL RUMAH BARU MINIMALIS NORHT WEST P...,North West Park,PPP Number : OXMMR-00000697,"IDR 750,000,000"
297,JUAL RUMAH PETEMON KUBURAN,Petemon Kuburan,PPP Number : OXMNC-00002568,"IDR 1,100,000,000"
298,DIJUAL RUMAH SIAP HUNI MEFOKAN AYU SURAB...,Medokan ayu Kec Rungkut Surabaya,PPP Number : OXMGH-00000865,"IDR 800,000,000"
299,RUMAH POJOK HARGA MURAHH PUOOLL,Sememi Benowo,PPP Number : OXMPN-00000332,"IDR 975,000,000"
300,JUAL RUMAH DUKUH KUPANG BARAT,jl dukuh Kupang barat,PPP Number : OXMDP-00000775,"IDR 1,500,000,000"
301,JUAL CEPAT RUMAH SURABAYA BARAT SIAP HUN...,Darmo indah selatan,PPP Number : OXMDP-00000771,"IDR 1,200,000,000"
302,JUAL RUMAH OPER KREDIT DI  ALANA CEMANDI,ALANA REGENCY CEMANDI,PPP Number : OXMDP-00000770,"IDR 517,000,000"
303,DIJUAL RUMAH KARANGAN JAYA HANYA 500 MET...,karangan jaya wiyung,PPP Number : OXMBL-00001540,"IDR 1,330,000,000"
304,JUAL RUMAH DI BUKIT PALMA,Bukit Palma,PPP Number : OXMNC-00002561,"IDR 1,200,000,000"
305,DI JUAL RUMAH SEMAMPIR BARAT SURABAYA,Semampir barat surabaya,PPP Number : OXMBL-00001531,"IDR 1,090,000,000"
306,DI JUAL RUMAH RANDU BARAT SIDOTOPO SURAB...,Randu barat sidotopo surabaya,PPP Number : OXMBL-00001530,"IDR 1,200,000,000"
307,"BUTUH CEPAT LAKU, DIJUAL RUMAH WIGUNA",Wiguna,PPP Number : OXMTP-00009033,"IDR 1,350,000,000"
308,DIJUAL RUMAH DI PERUMAHAN CITRA SENTOSA ...,CITRA SENTOSA,PPP Number : OXMTG-00002497,"IDR 775,000,000"
309,PROPERTI RUMAH KEBONSARI JAMBANGAN SURAB...,Kebonsari,PPP Number : OXMTP-00009024,"IDR 1,500,000,000"
310,RUMAH KEBONSARI JAMBANGAN SURABAYA SELAT...,Kebonsari,PPP Number : OXMTP-00009023,"IDR 1,500,000,000"
311,RUMAH KEBONSARI JAMBANGAN SURABAYA SELAT...,Kebonsari,PPP Number : OXMTP-00009014,"IDR 1,500,000,000"
312,DIJUAL RUMAH DARMO PERMAI SELATAN (MK HM...,darmo permai selatan,PPP Number : OXMDP-00000738,"IDR 1,200,000,000"
313,DIJUAL CEPAT RUMAH GRAND SIWALANKERTO,siwalankerto,PPP Number : OXMDP-00000737,"IDR 925,000,000"
314,DIJUAL RUMAH KOS AKTIF DI MEDAYU DEKAT M...,Medayu,PPP Number : OXMMR-00000691,"IDR 1,500,000,000"
315,DIJUAL CEPAT RUMAH BAGUS SHM PURI MAS SU...,purimas,PPP Number : OXMMG-00000883,"IDR 1,300,000,000"
316,DIJUAL CEPAT RUMAH BAGUS WIGUNA TIMUR RE...,rungkut,PPP Number : OXMMG-00000873,"IDR 1,150,000,000"
317,RUMAH WIGUNA SELATAN 2LT MODERN MINIMALI...,Wiguna Selatan,PPP Number : OXMCI-00003331,"IDR 1,050,000,000"
318,RUMAH DUKUH KUPANG BARAT 2LT LINGKUNGAN ...,Dukuh Kupang Barat,PPP Number : OXMCI-00003330,"IDR 1,400,000,000"
319,DIJUAL RUMAH LEBAK JAYA GRESS,Lebak Jaya 2 Tengah Utara,PPP Number : OXMDP-00000736,"IDR 1,450,000,000"
320,RUMAH BABAT JERAWAT LINGKUNGAN NYAMAN SB...,Babat Jerawat,PPP Number : OXMCI-00003329,"IDR 650,000,000"
321,JUAL CEPAT RUMAH TAMAN PONDOK INDAH SIAP...,TAMAN PONDOK INDAH - WIYUNG,PPP Number : OXMDR-00001429,"IDR 1,200,000,000"
322,DIJUAL RUMAH WIGUNA TENGAH REGENCY GUNUN...,WIGUNA TENGAH REGENCY,PPP Number : OXMTG-00002495,"IDR 975,000,000"
323,PROPERTY RUMAH BARU GRESS LEBAK JAYA KEN...,Lebak jaya,PPP Number : OXMTP-00008973,"IDR 1,450,000,000"
324,PROPERTY RUMAH BARU CANTIK MINIMALIS RUN...,Rungkut mapan,PPP Number : OXMTP-00008971,"IDR 1,450,000,000"
325,RUMAH BARU RUNGKUT MAPAN SURABAYA BARAT ...,Rungkut mapan,PPP Number : OXMTP-00008970,"IDR 1,450,000,000"
326,RUMAH BARU GRESS LEBAK JAYA KENJERAN MIN...,Lebak jaya,PPP Number : OXMTP-00008968,"IDR 1,450,000,000"
327,RUMAH BARU GRESS MINIMALIS DI LEBAK JAYA...,Lebak jaya,PPP Number : OXMTP-00008963,"IDR 1,450,000,000"
328,RUMAH MINIMALIS NEW GRESS RUNGKUT MAPAN ...,Rungkut mapan,PPP Number : OXMTP-00008961,"IDR 1,450,000,000"
329,PROPERTY RUMAH SECOND DI ALAM HIJAU CITR...,Alam hijau,PPP Number : OXMTP-00008950,"IDR 1,399,000,000"
330,RUMAH SECOND ALAM HIJAU CITRALAND SURABA...,Alam hijau,PPP Number : OXMTP-00008949,"IDR 1,399,000,000"
331,RUMAH SECOND MINIMALIS ALAM HIJAU CITRAL...,Alam hijau,PPP Number : OXMTP-00008940,"IDR 1,399,000,000"
332,RUMAH BARU 2 LT DEKAT KAMPUS PETRA DESAI...,raya Jemursari surabaya,PPP Number : OXMNY-00001664,"IDR 900,000,000"
333,"RUMAH SHM DEKAT KAMPUS  PETRA 1,5 LANTAI",siwalankerto,PPP Number : OXMNY-00001661,"IDR 1,300,000,000"
334,RUMAH WIYUNG KARANGANJAYA MODERN MINIMAL...,Wiyung Karanganjaya,PPP Number : OXMCI-00003320,"IDR 1,320,000,000"
335,RUMAH WIYUNG KARANGANJAYA MINIMALIS 2LT ...,Wiyung Karanganjaya,PPP Number : OXMCI-00003319,"IDR 1,330,000,000"
336,RUMAH WIYUNG KARANGANJAYA MODERN MINIMAL...,Wiyung Karanganjaya,PPP Number : OXMCI-00003318,"IDR 1,350,000,000"
337,EMA168 DIJUAL RUMAH BARU DI WONORUNGKUT ...,Wonorungkut,PPP Number : OXMTP-00008937,"IDR 1,250,000,000"
338,DI JUAL RUMAH RAYA TAMBAK MEDOKAN AYU SU...,Raya tambak MEDOKAN ayu surabaya,PPP Number : OXMBL-00001508,"IDR 1,350,000,000"
339,DI JUAL RUMAH GRIYA PERSONA ASRI RUNGKUT...,GRIYA persona asri rungkut surabaya,PPP Number : OXMBL-00001505,"IDR 900,000,000"
340,DI JUAL RUMAH RUNGKUT HARAPAN SURABAYA 2...,Rungkut harapan surabaya,PPP Number : OXMBL-00001502,"IDR 1,300,000,000"
341,DI JUAL RUMAH MEDOKAN RUNGKUT SURABAYA,Medokan rungkut surabaya,PPP Number : OXMBL-00001500,"IDR 1,000,000,000"
342,RUMAH LOKASI STRATEGIS DEKET NIRWANA EKS...,Wonorejo Selatan,PPP Number : OXMVR-00001829,"IDR 775,000,000"
343,PROPERTY RUMAH MINIMALIS NEW GRESS PENJA...,Penjaringan timur,PPP Number : OXMTP-00008930,"IDR 1,275,000,000"
344,RUMAH BARU GRESS MINIMALIS PENJARINGAN T...,Penjaringan timur,PPP Number : OXMTP-00008929,"IDR 1,275,000,000"
345,RUMAH BARU GRESS DI PENJARINGAN TIMUR PA...,Penjaringan timur,PPP Number : OXMTP-00008920,"IDR 1,275,000,000"
346,"KARANG EMPAT MURAH!!! RUMAH LEBAR 6,5 DE...",karangempat,PPP Number : OXMVR-00001827,"IDR 1,100,000,000"
347,DIJUAL RUMAH PONDOK CANDRA RAMBUTAN(RDY),pondok candra,PPP Number : OXMDP-00000718,"IDR 1,000,000,000"
348,RUMAH GREEN TAMAN SARI DIJUAL CEPAT,The Green Taman Sari,PPP Number : OXMCI-00003308,"IDR 1,300,000,000"
349,"RUMAH TERMURAH TERLUAS SURABAYA ELITE 1,...",raya wiyung,PPP Number : OXMNY-00001645,"IDR 1,500,000,000"
350,RUMAH VILLA HITS MANSION NINE DEKAT KAMP...,raya lakarsantri,PPP Number : OXMNY-00001644,"IDR 900,000,000"
351,RUMAH SHM CITRALAND TERMURAH NORTHWEST S...,Citraland Northwestpark Surabaya,PPP Number : OXMNY-00001643,"IDR 750,000,000"
352,DI JUAL RUMAH LEBAK PERMAI UTARA SURABAY...,Lebak permai utara surabaya,PPP Number : OXMBL-00001490,"IDR 1,500,000,000"
353,DIJUAL RUMAH NORTHWEST PARK TYPE CAMBRIA,northwest,PPP Number : OXMRW-00000106,"IDR 1,500,000,000"
354,DI JUAL RUMAH BOGORAMI REGENCY SURABAYA,BOGORAMI REGENCY surabaya,PPP Number : OXMBL-00001484,"IDR 850,000,000"
355,RUMAH SIAP HUNI LOKASI BABATAN PILANG SU...,Babatan Pilang,PPP Number : OXMMR-00000679,"IDR 1,200,000,000"
356,DIJUAL CEPAT RUMAH 1.5 LT DUKUH KUPANG S...,dukuh kupang,PPP Number : OXMMG-00000861,"IDR 1,450,000,000"
357,DIJUAL CEPAT RUMAH BARU 2 LT MINIMALIS S...,rungkut,PPP Number : OXMMG-00000860,"IDR 1,055,000,000"
358,DI JUAL RUMAH MEDOKAN SAWAH SURABAYA NEW...,Medokan sawah surabaya new 2 unit,PPP Number : OXMBL-00001468,"IDR 1,055,000,000"
359,RUMAH GRIYA ASRI HUNIAN NYAMAN SBY TIMUR...,Griya Asri - Pakuwon City,PPP Number : OXMCI-00003305,"IDR 1,500,000,000"
360,JUAL RUMAH WISMA KEDUNG ASEM INDAH,Wisma Kedung Asem Indah,PPP Number : OXMNC-00002522,"IDR 1,500,000,000"
361,"DIJUAL CEPAT RUMAH SURABAYA BARAT"" DARMO...",darmo indah selatan,PPP Number : OXMDP-00000682,"IDR 750,000,000"
362,JUAL CEPAT RUMAH SURABAYA BARAT HARGA DI...,darmo indah selatan,PPP Number : OXMDP-00000681,"IDR 790,000,000"
363,DIJUAL RUMAH LEBAK PERMAI,lebak permai,PPP Number : OXMMJ-00003480,"IDR 1,500,000,000"
364,PROPERTY RUMAH PURIMAS MINIMALIS BAGUS T...,Purimas,PPP Number : OXMTP-00008878,"IDR 1,300,000,000"
365,PROPERTY RUMAH DI TIRA MEDAYU RUNGKUT SU...,Tira medayu,PPP Number : OXMTP-00008877,"IDR 1,500,000,000"
366,RUMAH DI TIRA MEDOKAN RUNGKUT 2LANTAI MI...,Tira medokan,PPP Number : OXMTP-00008874,"IDR 1,500,000,000"
367,RUMAH PURIMAS GUNUNGANYAR MINIMALIS TERA...,Purimas,PPP Number : OXMTP-00008873,"IDR 1,300,000,000"
368,RUMAH PURIMAS SURABAYA TIMUR MINIMALIS B...,Purimas,PPP Number : OXMTP-00008868,"IDR 1,300,000,000"
369,RUMAH MINIMALIS SEMIFURNISH DI TIRA MEDA...,Tira medayu,PPP Number : OXMTP-00008867,"IDR 1,500,000,000"
370,JUAL RUMAH PURIMAS SURABAYA TIMUR,Puri Mas,PPP Number : OXMTP-00008862,"IDR 1,300,000,000"
371,RUMAH DIJUAL SEMI FURNISH LOKASI TIRA ME...,Tira Medayu,PPP Number : OXMTP-00008861,"IDR 1,500,000,000"
372,RUMAH DIJUAL LOKASI TAMAN RIVERA RUNGKUT,Taman Rivera Regency,PPP Number : OXMTP-00008859,"IDR 1,500,000,000"
373,DIJUAL RUMAH SECOND DI ALAM HIJAU CITRAL...,Citraland,PPP Number : OXMTP-00008855,"IDR 1,499,000,000"
374,RUMAH DIJUAL OASIS RESIDENCE DEKAT JUAND...,jl dukuh dadap,PPP Number : FSXMTS-00001197,"IDR 550,000,000"
375,PROPERTY RUMAH TAMAN RIVERA RUNGKUT MINI...,Taman rivera,PPP Number : OXMTP-00008854,"IDR 1,500,000,000"
376,RUMAH TAMAN RIVERA RUNGKUT SURABAYA BAGU...,Taman rivera,PPP Number : OXMTP-00008841,"IDR 1,500,000,000"
377,RUMAH BAGUS DI TAMAN RIVERA RUNGKUT TERA...,Taman rivera rungkut,PPP Number : OXMTP-00008840,"IDR 1,500,000,000"
