,title,location,ppp_number,price
43,DI JUAL PANTAI MENTARI CLUSTER HAMPTON,Pantai mentari cluster Hampton surabaya,PPP Number : OXMBL-00001821,"IDR 1,300,000,000"
44,DI JUAL RUMAH KAMPUNG MALANG UTARA SURAB...,Kampung malang utara surabaya,PPP Number : OXMBL-00001820,"IDR 800,000,000"
45,DI JUAL RUMAH RAYA PAKIS SURABAYA,Raya pakis surabaya,PPP Number : OXMBL-00001813,"IDR 1,500,000,000"
46,DI JUAL RUMAH MEDAYU UTARA SURABAYA,Medayu utara surabaya,PPP Number : OXMBL-00001810,"IDR 1,500,000,000"
47,RUMAH MURAH CITRALAND NORTHWEST 2 LT SUD...,Raya Citraland Utara Pakal surabaya,PPP Number : OXMNY-00001968,"IDR 1,350,000,000"
48,RUMAH AMERTA REGENCY,amerta regency,PPP Number : OXMHR-00000950,"IDR 1,300,000,000"
49,DIJUAL RUMAH RAYA KARAH AGUNG GAYUNGAN S...,KARAH AGUNG,PPP Number : OXMTG-00002786,"IDR 1,450,000,000"
50,DIJUAL RUMAH PANTAI MENTARI CLUSTER HAMP...,PANTAI MENTARI,PPP Number : OXMTG-00002784,"IDR 1,300,000,000"
51,RUMAH KLAMPIS SEMOLO TIMUR SURABAYA MURA...,Klampis Semolo Timur,PPP Number : OXMTG-00002782,"IDR 1,100,000,000"
52,DIJUAL RUMAH PAKUWON CITY PURI ASRI KALI...,PAKUWON CITY PURI ASRI,PPP Number : OXMTG-00002766,"IDR 1,400,000,000"
53,DIJUAL RUMAH PANDUGO RUNGKUT SURABAYA RO...,PANDUGO,PPP Number : OXMTG-00002765,"IDR 800,000,000"
54,HUNIAN NYAMAN CITRALAND BUKIT PALMA TERA...,Bukit Palma,PPP Number : OXMCI-00003503,"IDR 900,000,000"
55,DIJUAL RUMAH DI PERUM GREEN SEMANGGI MAN...,GREEN SEMANGGI MANGROVE,PPP Number : OXMTG-00002760,"IDR 600,000,000"
56,HUNIAN NYAMAN BUKIT PALMA TERAWAT SIAP H...,Bukit Palma,PPP Number : OXMCI-00003502,"IDR 900,000,000"
57,DIJUAL RUMAH WIGUNA TIMUR REGENCY GUNUNG...,WIGUNA TIMUR REGENCY,PPP Number : OXMTG-00002748,"IDR 1,500,000,000"
58,DIJUAL RUMAH DI PERUMAHAN PURI KALIJUDAN...,PURI KALIJUDAN ASRI KALIJUDAN,PPP Number : OXMTG-00002735,"IDR 790,000,000"
59,DIJUAL RUMAH LUAS MURAH DI PERUMAHAN WES...,western village,PPP Number : OXMBL-00001806,"IDR 980,000,000"
60,DIJUAL RUMAH DI PERUMAHAN WONOREJO INDAH...,WONOREJO INDAH,PPP Number : OXMTG-00002732,"IDR 675,000,000"
61,DIJUAL RUMAH DI PERUMAHAN GREEN LAKE RES...,GREEN LAKE RESIDENCE,PPP Number : OXMTG-00002728,"IDR 850,000,000"
62,RUMAH SIAP HUNI BARU GRESS MEDOKAN SAWAH...,Medokan sawah,PPP Number : OXMTP-00009631,"IDR 1,055,000,000"
63,DIJUAL RUMAH WIGUNA TENGAH GUNUNG ANYAR ...,WIGUNA TENGAH,PPP Number : OXMTG-00002725,"IDR 1,350,000,000"
64,RUMAH MEDOKAN SAWAH BARU GRESS MINIMALIS...,Medokan sawah,PPP Number : OXMTP-00009626,"IDR 1,055,000,000"
65,RUMAH BARU GRESS 2LANTAI MINIMALIS DI ME...,Medokan sawah,PPP Number : OXMTP-00009621,"IDR 1,055,000,000"
66,DIJUAL RUMAH SELANGKAH DARI CIPUTRA WORL...,Pakis Tirtosari,PPP Number : OXMPN-00000370,"IDR 1,400,000,000"
67,"DIJUAL RUMAH DI MEDOKAN SAWAH, SURABAYA ...","Medokan Sawah, Surabaya Timur.",PPP Number : OXMMJ-00004017,"IDR 1,055,000,000"
68,"DIJUAL RUMAH DI WIGUNA TIMUR , SURABAYA",i Wiguna Timur  Surabaya,PPP Number : OXMMJ-00004016,"IDR 1,250,000,000"
69,DIJUAL RUMAH MEDOKAN SEMAMPIR INDAH SUKO...,MEDOKAN SEMAMPIR INDAH,PPP Number : OXMTG-00002717,"IDR 1,000,000,000"
70,DIJUAL RUMAH GUNUNG ANYAR EMAS SURABAYA ...,GUNUNG ANYAR EMAS,PPP Number : OXMTG-00002702,"IDR 825,000,000"
71,DIJUAL RUMAH GRIYA PESONA ASRI MEDAYU PE...,GRIYA PESONA ASRI,PPP Number : OXMTG-00002700,"IDR 795,000,000"
72,DIJUAL RUMAH GRAND SEMANGGI RESIDENCE RU...,GRAND SEMANGGI,PPP Number : OXMTG-00002699,"IDR 920,000,000"
73,DIJUAL RUMAH KUTISARI UTARA SURABAYA RON...,KUTISARI UTARA,PPP Number : OXMTG-00002697,"IDR 950,000,000"
74,DIJUAL RUMAH,perumahan pondok jati,PPP Number : OXMGX-00000201,"IDR 1,500,000,000"
75,DIJUAL RUMAH KOS JOJORAN I PERINTIS GUBE...,JOJORAN PERINTIS GUBENG,PPP Number : OXMTG-00002690,"IDR 600,000,000"
76,DIJUAL RUMAH PENJARINGAN RUNGKUT SURABAY...,PENJARINGAN,PPP Number : OXMTG-00002684,"IDR 620,000,000"
77,DIJUAL RUMAH WIGUNA TENGAH REGENCY GUNUN...,WIGUNA TENGAH REGENCY,PPP Number : OXMTG-00002683,"IDR 1,100,000,000"
78,DIJUAL RUMAH WONOREJO SELATAN RUNGKUT SU...,WONOREJO SELATAN,PPP Number : OXMTG-00002681,"IDR 800,000,000"
79,DIJUAL RUMAH DI PERUMAHAN GUNUNG ANYAR E...,GUNUNG ANYAR EMAS,PPP Number : OXMTG-00002680,"IDR 1,070,000,000"
80,DIJUAL RUMAH PANDUGO RUNGKUT SURABAYA RO...,PANDUGO,PPP Number : OXMTG-00002677,"IDR 1,300,000,000"
81,RUMAH BARU 1M-AN WONOREJO RUNGKUT SURABA...,Wonorejo selatan,PPP Number : OXMTP-00009606,"IDR 1,250,000,000"
82,JUAL RUMAH BARU GRESSS MINIMALIS 2 LANTA...,Medokan Sawah,PPP Number : FSXMTP-00009589,"IDR 1,055,000,000"
83,JUAL RUMAH,rungkut asri,PPP Number : OXMRW-00000205,"IDR 1,400,000,000"
84,RUMAH PONDOK BENOWO INDAH 2LT TERAWAT HA...,Pondok Benowo indah,PPP Number : OXMCI-00003494,"IDR 899,000,000"
85,RUMAH EASTERN PARK BARU SEMI FURNISH 6X1...,Perumahan Eastern Park AB,PPP Number : OXMHR-00000926,"IDR 1,500,000,000"
86,JUAL RUMAH EASTERN PARK RESIDENCE,Eastern Park Residence,PPP Number : OXMNC-00002716,"IDR 1,350,000,000"
87,JUAL RUMAH PLOSO TIMUR,Ploso Timur,PPP Number : OXMNC-00002715,"IDR 1,200,000,000"
88,PROPERTY RUMAH SECOND MINIMALIS BAGUS LO...,Kebraon,PPP Number : OXMTP-00009575,"IDR 1,200,000,000"
89,RUMAH MURAH MINIMALIS GRAND HARVEST KOMP...,Kebraon,PPP Number : OXMTP-00009574,"IDR 1,200,000,000"
90,RUMAH SECOND MINIMALIS GRAND HARVEST SUR...,Kebraon,PPP Number : OXMTP-00009563,"IDR 1,200,000,000"
91,DIJUAL MURAH DI PANTAI MENTARI SURABAYA ...,Pantai Mentari Surabaya Timur.,PPP Number : OXMMJ-00003978,"IDR 1,300,000,000"
92,DI JUAL RUMAH PAKUWON CITY CLUSTER PURI ...,Pakuwon city cluster puri asri surabaya,PPP Number : OXMBL-00001787,"IDR 1,400,000,000"
93,DI JUAL RUMAH MANUKAN LOR SURABAYA,Manukan lor surabaya,PPP Number : OXMBL-00001775,"IDR 775,000,000"
94,DI JUAL RUMAH ROYAL RESIDENCE CLUSTER SE...,Royal residence cluster serenade surabaya,PPP Number : OXMBL-00001770,"IDR 1,450,000,000"
95,DI JUAL RUMAH TAMAN WISATA REGENCY BANGK...,Taman wisata regency bangkingan surabaya,PPP Number : OXMBL-00001768,"IDR 900,000,000"
96,RUMAH SHM 2 LANTAI DK CITRALAND SURABAYA...,raya Citraland surabaya,PPP Number : OXMNY-00001880,"IDR 830,000,000"
97,DI JUAL RUMAH 2 LANTAI DEKAT GWALK,jl kalijaran,PPP Number : OXMTS-00001239,"IDR 750,000,000"
98,PERUMAHAN CITRA PERMATA REGENCY SURABAYA...,Perum Citra Permata Regency Surabaya Barat,PPP Number : OXMHR-00000921,"IDR 1,500,000,000"
99,RUMAH CITRALAND BUKIT PALMA HUNIAN NYAMA...,Bukit Palma,PPP Number : OXMCI-00003486,"IDR 1,130,000,000"
100,PROPERTY RUMAH DI KALIBUTUH BARAT DEKAT ...,Kalibutuh barat,PPP Number : OXMTP-00009556,"IDR 560,000,000"
101,RUMAH TENGAH KOTA SURABAYA 500JT-AN DI J...,Kalibutuh barat,PPP Number : OXMTP-00009555,"IDR 560,000,000"
